timestamp,solar_irradiance_wm2,ambient_temperature_c,panel_temperature_c,cloud_cover_percent,power_generation_kw
2025-01-01 00:00:00,0.0,23.06,23.06,35.37,0.0
2025-01-01 01:00:00,0.0,28.04,28.04,20.7,0.0
2025-01-01 02:00:00,0.0,24.97,24.97,16.0,0.0
2025-01-01 03:00:00,0.0,17.9,17.9,3.14,0.0
2025-01-01 04:00:00,0.0,24.27,24.27,25.09,0.0
2025-01-01 05:00:00,0.0,21.94,21.94,7.86,0.0
2025-01-01 06:00:00,0.0,29.03,29.03,32.08,0.0
2025-01-01 07:00:00,162.82,34.43,36.47,55.19,19.08
2025-01-01 08:00:00,356.83,26.77,31.23,16.65,61.9
2025-01-01 09:00:00,415.52,25.94,31.13,35.33,62.83
2025-01-01 10:00:00,694.01,26.26,34.93,42.91,94.64
2025-01-01 11:00:00,769.97,34.88,44.5,20.77,142.37
2025-01-01 12:00:00,716.99,34.77,43.74,31.91,104.78
2025-01-01 13:00:00,813.5,30.52,40.69,0.84,148.8
2025-01-01 14:00:00,631.78,28.73,36.62,33.44,87.26
2025-01-01 15:00:00,538.01,33.08,39.8,50.28,74.97
2025-01-01 16:00:00,367.96,37.64,42.24,17.14,59.47
2025-01-01 17:00:00,134.43,25.19,26.87,35.2,19.55
2025-01-01 18:00:00,0.0,29.89,29.89,7.91,0.0
2025-01-01 19:00:00,0.0,21.36,21.36,18.19,0.0
2025-01-01 20:00:00,0.0,25.21,25.21,28.17,0.0
2025-01-01 21:00:00,0.0,20.9,20.9,31.56,0.0
2025-01-01 22:00:00,0.0,18.39,18.39,25.51,0.0
2025-01-01 23:00:00,0.0,30.83,30.83,13.72,0.0
2025-01-02 00:00:00,0.0,24.27,24.27,59.89,0.0
2025-01-02 01:00:00,0.0,22.45,22.45,45.41,0.0
2025-01-02 02:00:00,0.0,19.08,19.08,10.31,0.0
2025-01-02 03:00:00,0.0,18.24,18.24,24.67,0.0
2025-01-02 04:00:00,0.0,25.19,25.19,38.75,0.0
2025-01-02 05:00:00,0.0,24.91,24.91,24.94,0.0
2025-01-02 06:00:00,0.0,34.41,34.41,43.21,0.0
2025-01-02 07:00:00,172.12,32.48,34.63,7.72,28.08
2025-01-02 08:00:00,366.83,35.27,39.86,12.36,61.94
2025-01-02 09:00:00,576.3,46.32,53.52,37.42,72.1
2025-01-02 10:00:00,690.44,29.26,37.89,28.23,112.89
2025-01-02 11:00:00,664.45,35.14,43.44,43.37,93.65
2025-01-02 12:00:00,729.57,36.34,45.46,21.43,118.04
2025-01-02 13:00:00,762.35,24.37,33.9,60.27,85.13
2025-01-02 14:00:00,642.74,37.99,46.02,19.94,115.62
2025-01-02 15:00:00,523.45,28.58,35.12,37.4,72.58
2025-01-02 16:00:00,340.8,24.64,28.9,4.53,60.45
2025-01-02 17:00:00,217.89,31.3,34.02,36.06,38.47
2025-01-02 18:00:00,0.0,36.29,36.29,38.09,0.0
2025-01-02 19:00:00,0.0,20.91,20.91,37.71,0.0
2025-01-02 20:00:00,0.0,21.39,21.39,56.7,0.0
2025-01-02 21:00:00,0.0,25.51,25.51,28.7,0.0
2025-01-02 22:00:00,0.0,22.06,22.06,69.79,0.0
2025-01-02 23:00:00,0.0,18.82,18.82,12.12,0.0
2025-01-03 00:00:00,0.0,18.28,18.28,14.35,0.0
2025-01-03 01:00:00,0.0,25.62,25.62,28.76,0.0
2025-01-03 02:00:00,0.0,21.6,21.6,38.05,0.0
2025-01-03 03:00:00,0.0,21.54,21.54,34.89,0.0
2025-01-03 04:00:00,0.0,26.35,26.35,58.58,0.0
2025-01-03 05:00:00,0.0,21.51,21.51,17.85,0.0
2025-01-03 06:00:00,0.0,26.22,26.22,27.35,0.0
